week,sku_id,demand,sales_value,avg_price,avg_discount,sku_name,category,subcategory,brand,cost_price,promo_flag,promo_discount,promo_count
2020-12-28,1001,39,5751.48,146.93142857142857,10.714285714285714,Electronics_Chargers_1001,Electronics,Chargers,Budget,103.44,1.0,15.0,1.0
2020-12-28,1002,35,435.23,12.585555555555555,8.333333333333334,Dairy_Cream_1002,Dairy,Cream,Local,8.96,1.0,15.0,1.0
2020-12-28,1003,42,469.8,11.169230769230769,6.923076923076923,Household_Cleaning Supplies_1003,Household,Cleaning Supplies,BlueMart,7.47,1.0,15.0,1.0
2020-12-28,1004,15,342.53999999999996,22.959999999999997,7.5,Beverages_Juices_1004,Beverages,Juices,International,17.58,1.0,15.0,1.0
2020-12-28,1005,17,282.28,16.56,6.428571428571429,Household_Paper Products_1005,Household,Paper Products,Budget,13.68,1.0,15.0,1.0
2020-12-28,1006,27,304.83,11.36,10.0,Beverages_Coffee_1006,Beverages,Coffee,Premium,9.8,1.0,15.0,1.0
2020-12-28,1007,41,2545.77,62.67363636363637,6.818181818181818,Personal Care_Shampoo_1007,Personal Care,Shampoo,BlueMart,51.47,1.0,15.0,1.0
2020-12-28,1008,24,975.48,40.174285714285716,8.571428571428571,Personal Care_Shampoo_1008,Personal Care,Shampoo,Premium,31.77,1.0,15.0,1.0
2020-12-28,1009,26,2105.54,83.1557142857143,8.571428571428571,Electronics_Batteries_1009,Electronics,Batteries,Local,61.82,1.0,15.0,1.0
2020-12-28,1010,9,125.73,13.97,15.0,Grocery_Rice_1010,Grocery,Rice,Budget,10.05,1.0,15.0,1.0
2020-12-28,1011,38,703.68,18.075,11.25,Personal Care_Shampoo_1011,Personal Care,Shampoo,Premium,16.28,1.0,15.0,1.0
2020-12-28,1012,18,226.24,12.51,11.25,Beverages_Juices_1012,Beverages,Juices,Premium,7.87,1.0,15.0,1.0
2020-12-28,1013,39,1250.73,32.231818181818184,9.545454545454545,Grocery_Cereals_1013,Grocery,Cereals,Premium,24.33,1.0,15.0,1.0
2020-12-28,1014,31,227.52,7.404545454545455,5.454545454545454,Dairy_Butter_1014,Dairy,Butter,Premium,5.03,1.0,15.0,1.0
2020-12-28,1015,26,644.33,25.095,7.5,Dairy_Cream_1015,Dairy,Cream,Budget,19.22,1.0,15.0,1.0
2020-12-28,1016,21,373.20000000000005,18.272,6.0,Grocery_Rice_1016,Grocery,Rice,BlueMart,11.6,1.0,15.0,1.0
2020-12-28,1017,32,1253.76,38.517272727272726,10.909090909090908,Household_Paper Products_1017,Household,Paper Products,Budget,23.96,1.0,15.0,1.0
2020-12-28,1018,14,739.1600000000001,52.40333333333333,5.0,Personal Care_Deodorant_1018,Personal Care,Deodorant,Budget,32.74,1.0,15.0,1.0
2020-12-28,1019,21,4258.38,203.91500000000002,3.75,Electronics_Cables_1019,Electronics,Cables,Local,152.31,1.0,15.0,1.0
2020-12-28,1020,29,256.06,8.842500000000001,11.25,Beverages_Juices_1020,Beverages,Juices,Local,7.12,1.0,15.0,1.0
2020-12-28,1021,27,692.01,25.470000000000002,11.666666666666666,Grocery_Canned Goods_1021,Grocery,Canned Goods,BlueMart,17.6,1.0,15.0,1.0
2020-12-28,1022,24,1225.2600000000002,50.71,7.5,Household_Cleaning Supplies_1022,Household,Cleaning Supplies,Premium,38.83,1.0,15.0,1.0
2020-12-28,1023,22,1183.0,54.30571428571428,10.714285714285714,Personal Care_Toothpaste_1023,Personal Care,Toothpaste,International,47.09,1.0,15.0,1.0
2020-12-28,1024,29,236.43,8.129999999999999,7.5,Grocery_Canned Goods_1024,Grocery,Canned Goods,International,5.19,1.0,15.0,1.0
2020-12-28,1025,20,153.09,7.633333333333334,10.0,Household_Detergent_1025,Household,Detergent,Budget,4.88,1.0,15.0,1.0
2020-12-28,1026,37,189.4,5.184,9.0,Snacks_Biscuits_1026,Snacks,Biscuits,Budget,3.92,1.0,15.0,1.0
2020-12-28,1027,23,118.22,5.14,15.0,Snacks_Chips_1027,Snacks,Chips,Premium,3.35,1.0,15.0,1.0
2020-12-28,1028,21,770.79,36.20666666666667,13.333333333333334,Household_Paper Products_1028,Household,Paper Products,Budget,31.85,1.0,15.0,1.0
2020-12-28,1029,38,934.8,25.64923076923077,8.076923076923077,Grocery_Canned Goods_1029,Grocery,Canned Goods,Premium,19.78,1.0,15.0,1.0
2020-12-28,1030,20,397.77,20.054,9.0,Dairy_Cream_1030,Dairy,Cream,Premium,17.11,1.0,15.0,1.0
2020-12-28,1031,28,395.5,14.411249999999999,5.625,Snacks_Chips_1031,Snacks,Chips,BlueMart,10.28,1.0,15.0,1.0
2020-12-28,1032,34,479.12,13.798000000000002,9.0,Snacks_Chocolates_1032,Snacks,Chocolates,BlueMart,11.25,1.0,15.0,1.0
2020-12-28,1033,20,590.3599999999999,28.96142857142857,10.714285714285714,Household_Paper Products_1033,Household,Paper Products,International,20.11,1.0,15.0,1.0
2020-12-28,1034,9,474.89,51.0875,11.25,Household_Cleaning Supplies_1034,Household,Cleaning Supplies,Budget,36.42,1.0,15.0,1.0
2020-12-28,1035,23,5165.21,224.3457142857143,8.571428571428571,Electronics_Batteries_1035,Electronics,Batteries,Premium,139.58,1.0,15.0,1.0
2020-12-28,1036,34,2706.82,79.72000000000001,10.909090909090908,Electronics_Mobile Accessories_1036,Electronics,Mobile Accessories,Budget,53.01,1.0,15.0,1.0
2020-12-28,1037,30,4794.51,159.817,10.5,Electronics_Cables_1037,Electronics,Cables,BlueMart,123.66,1.0,15.0,1.0
2020-12-28,1038,52,4730.75,89.35333333333332,10.0,Electronics_Cables_1038,Electronics,Cables,Premium,60.91,1.0,15.0,1.0
2020-12-28,1039,46,1051.82,22.992499999999996,11.25,Beverages_Soft Drinks_1039,Beverages,Soft Drinks,Local,15.14,1.0,15.0,1.0
2020-12-28,1040,24,1854.52,76.21333333333334,10.0,Electronics_Mobile Accessories_1040,Electronics,Mobile Accessories,Premium,55.46,1.0,15.0,1.0
2020-12-28,1041,11,143.12,12.935999999999998,6.0,Snacks_Nuts_1041,Snacks,Nuts,Local,9.29,1.0,15.0,1.0
2020-12-28,1042,22,879.96,41.04857142857143,8.571428571428571,Grocery_Canned Goods_1042,Grocery,Canned Goods,Budget,25.0,1.0,15.0,1.0
2020-12-28,1043,31,674.15,21.494444444444444,8.333333333333334,Electronics_Batteries_1043,Electronics,Batteries,Budget,15.63,1.0,15.0,1.0
2020-12-28,1044,33,647.13,20.006363636363634,8.181818181818182,Snacks_Biscuits_1044,Snacks,Biscuits,BlueMart,13.35,1.0,15.0,1.0
2020-12-28,1045,28,3509.1,124.266,12.0,Electronics_Cables_1045,Electronics,Cables,Local,89.2,1.0,15.0,1.0
2020-12-28,1046,16,852.47,53.824999999999996,7.5,Household_Paper Products_1046,Household,Paper Products,Local,38.66,1.0,15.0,1.0
2020-12-28,1047,12,422.48,33.942,6.0,Household_Detergent_1047,Household,Detergent,Local,25.61,1.0,15.0,1.0
2020-12-28,1048,30,366.18,12.252222222222223,11.666666666666666,Snacks_Biscuits_1048,Snacks,Biscuits,Local,8.75,1.0,15.0,1.0
2020-12-28,1049,18,1931.96,107.085,9.375,Electronics_Batteries_1049,Electronics,Batteries,BlueMart,67.31,1.0,15.0,1.0
2020-12-28,1050,33,527.08,16.232,9.0,Snacks_Chips_1050,Snacks,Chips,International,10.07,1.0,15.0,1.0
2020-12-28,1051,32,2047.8,64.21666666666665,10.0,Electronics_Cables_1051,Electronics,Cables,BlueMart,40.92,1.0,15.0,1.0
2020-12-28,1052,27,400.36,15.089090909090908,9.545454545454545,Snacks_Crackers_1052,Snacks,Crackers,Budget,11.33,1.0,15.0,1.0
